"studyday","timeperiod","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
4,72,"Unwashed","Interceptor®G2",2,13,1,0,3,4,3,17
4,72,"20x Washed","Interceptor®",1,16,10,0,0,10,0,26
4,72,"20x Washed","Interceptor®",1,38,8,1,0,8,1,47
4,72,"Unwashed","Interceptor®G2",2,7,0,1,0,0,1,8
4,72,"Unwashed","Interceptor®",1,2,0,0,0,0,0,2
4,72,"Control","Control",0,5,0,9,0,0,9,14
4,72,"Unwashed","Interceptor®",1,4,0,0,0,0,0,4
4,72,"20x Washed","Interceptor®G2",2,7,9,0,0,9,0,16
4,72,"20x Washed","Interceptor®G2",2,15,9,1,0,9,1,25
5,72,"20x Washed","Interceptor®",1,20,4,1,0,4,1,25
5,72,"20x Washed","Interceptor®G2",2,28,27,9,0,27,9,64
5,72,"Unwashed","Interceptor®G2",2,15,6,0,0,6,0,21
5,72,"Unwashed","Interceptor®G2",2,4,3,2,0,3,2,9
5,72,"20x Washed","Interceptor®",1,16,6,0,2,8,2,24
5,72,"Unwashed","Interceptor®",1,9,0,0,0,0,0,9
5,72,"20x Washed","Interceptor®G2",2,13,19,0,0,19,0,32
5,72,"Control","Control",0,5,0,3,0,0,3,8
5,72,"Control","Control",0,6,0,1,0,0,1,7
5,72,"Unwashed","Interceptor®",1,3,0,5,1,1,6,9
6,72,"Unwashed","Interceptor®G2",2,11,18,0,0,18,0,29
6,72,"20x Washed","Interceptor®",1,29,13,3,1,14,4,46
6,72,"Control","Control",0,6,0,1,1,1,2,8
6,72,"20x Washed","Interceptor®",1,8,18,1,0,18,1,27
6,72,"Unwashed","Interceptor®",1,0,3,0,0,3,0,3
6,72,"Unwashed","Interceptor®",1,6,3,0,0,3,0,9
6,72,"20x Washed","Interceptor®G2",2,4,4,0,0,4,0,8
6,72,"20x Washed","Interceptor®G2",2,0,2,0,0,2,0,2
6,72,"Control","Control",0,6,15,8,2,17,10,31
6,72,"Unwashed","Interceptor®G2",2,2,3,0,0,3,0,5
7,72,"Unwashed","Interceptor®",1,14,9,0,0,9,0,23
7,72,"20x Washed","Interceptor®G2",2,13,19,0,0,19,0,32
7,72,"Control","Control",0,0,2,0,0,2,0,2
