"day","month","year","trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
"05","Nov","2020",4,"0","interceptorG2",3,1,0,0,0,0,0,1
"09","Dec","2020",33,"Control","untreated",0,0,0,0,0,0,0,0
"23","May","2020",6,"Control","untreated",0,0,0,0,0,0,0,0
"20","Jun","2020",30,"0","interceptorG2",3,0,0,0,0,0,0,0
"13","Jun","2020",24,"Control","untreated",0,0,0,0,0,0,0,0
"26","Nov","2020",22,"Control","untreated",0,0,0,0,0,0,0,0
"10","Mar","2021",9,"0","olysetplus",2,0,0,1,0,0,1,1
"24","Apr","2021",6,"0","interceptor",1,0,0,0,0,0,0,0
"23","Jun","2021",9,"Control","untreated",0,1,0,0,0,0,0,1
"14","Jun","2021",1,"Control","untreated",0,1,0,0,0,0,0,1
"10","Jul","2021",24,"Control","untreated",0,0,0,0,0,0,0,0
"10","Jul","2021",24,"0","olysetplus",2,0,0,0,0,0,0,0
"18","Jan","2021",13,"0","olysetplus",2,1,0,0,0,0,0,1
"03","Jun","2020",15,"0","interceptor",1,0,0,0,0,0,0,0
"17","Aug","2020",31,"0","interceptor",1,0,0,0,0,0,0,0
"05","Mar","2021",5,"0","interceptor",1,0,0,0,0,0,0,0
"26","May","2020",8,"0","interceptor",1,0,0,0,0,0,0,0
"09","Nov","2020",7,"Control","untreated",0,0,0,0,0,0,0,0
"17","Nov","2020",14,"0","interceptorG2",3,0,1,0,0,1,0,1
"06","May","2021",16,"Control","untreated",0,0,0,1,0,0,1,1
"21","Jun","2021",7,"Control","untreated",0,1,0,0,0,0,0,1
"15","Jan","2021",11,"Control","untreated",0,0,0,0,0,0,0,0
"09","Nov","2021",2,"0","interceptor",1,0,0,0,0,0,0,0
"24","Jul","2020",11,"Control","untreated",0,0,0,1,0,0,1,1
"27","Apr","2021",8,"0","olysetplus",2,0,1,0,0,1,0,1
"08","Mar","2021",7,"Control","untreated",0,0,0,0,0,0,0,0
"21","Aug","2020",35,"Control","untreated",0,0,0,0,0,0,0,0
"16","Jun","2020",26,"Control","untreated",0,0,0,0,0,0,0,0
"07","May","2021",17,"0","interceptor",1,0,0,1,0,0,1,1
"18","Aug","2020",32,"Control","untreated",0,1,0,0,0,0,0,1
"02","Mar","2021",2,"Control","untreated",0,0,0,0,0,0,0,0
"15","May","2021",24,"Control","untreated",0,1,0,0,0,0,0,1
"06","Jan","2021",3,"Control","untreated",0,0,0,0,0,0,0,0
"17","Aug","2020",31,"Control","untreated",0,1,0,0,0,0,0,1
"08","Aug","2020",24,"Control","untreated",0,1,0,0,0,0,0,1
"14","Jul","2021",27,"0","interceptor",1,0,0,0,0,0,0,0
"03","Mar","2021",3,"0","olysetplus",2,0,0,0,0,0,0,0
"15","Jun","2020",25,"Control","untreated",0,0,0,0,0,0,0,0
"31","Mar","2021",27,"0","olysetplus",2,1,0,0,0,0,0,1
"09","Jun","2020",20,"0","olysetplus",2,0,0,0,0,0,0,0
"09","Mar","2021",8,"0","interceptorG2",3,0,0,0,0,0,0,0
"16","Jul","2020",4,"Control","untreated",0,0,0,1,0,0,1,1
"12","May","2021",21,"0","interceptorG2",3,1,0,0,0,0,0,1
"01","Aug","2020",18,"Control","untreated",0,1,0,0,0,0,0,1
"07","May","2021",17,"Control","untreated",0,1,0,0,0,0,0,1
"27","Nov","2020",23,"Control","untreated",0,0,0,1,0,0,1,1
"19","Jan","2021",14,"0","olysetplus",2,0,0,0,0,0,0,0
"28","Jun","2021",13,"Control","untreated",0,0,0,0,0,0,0,0
"18","May","2021",26,"0","olysetplus",2,1,0,0,0,0,0,1
"15","Jun","2021",2,"0","interceptor",1,1,0,0,1,1,1,2
"11","Jan","2021",7,"Control","untreated",0,0,0,1,0,0,1,1
"18","Jun","2020",28,"Control","untreated",0,0,0,0,0,0,0,0
"20","May","2020",3,"Control","untreated",0,0,0,0,0,0,0,0
"23","Mar","2021",20,"0","interceptorG2",3,0,0,0,0,0,0,0
"23","Jun","2020",32,"Control","untreated",0,0,0,0,0,0,0,0
"17","Jul","2020",5,"Control","untreated",0,0,0,1,0,0,1,1
"30","Jun","2021",15,"Control","untreated",0,0,0,1,0,0,1,1
"19","Jun","2021",6,"Control","untreated",0,1,0,0,0,0,0,1
"14","May","2021",23,"Control","untreated",0,0,0,1,0,0,1,1
